commune_name,bfs,homepage_url
Aire-la-Ville,6601,https://www.aire-la-ville.ch
Anières,6602,https://www.anieres.ch
Avully,6603,https://www.avully.ch
Avusy,6604,https://www.avusy.ch/plan-directeur-communal/
Bardonnex,6605,https://www.bardonnex.ch/amenagements/
Bellevue,6606,https://www.mairie-bellevue.ch/
Bernex,6607,https://www.bernex.ch
Carouge,6608,https://www.carouge.ch/vie-pratique/espace-public/carouge-horizon-2040
Cartigny,6609,https://cartigny.ch/
Céligny,6610,https://www.celigny.ch
Chancy,6611,https://www.chancy.ch
Chêne-Bougeries,6612,https://www.chene-bougeries.ch
Chêne-Bourg,6613,https://www.chene-bourg.ch/vivre-a-chene-bourg/amenagements-et-constructions/plan-directeur-communal-pdcom/
Choulex,6614,https://choulex.ch/plan-directeur-communal/
Collex-Bossy,6615,https://www.collex-bossy.ch
Collonge-Bellerive,6616,https://www.collonge-bellerive.ch/plansdirecteurs
Cologny,6617,https://www.cologny.ch
Confignon,6618,https://www.confignon.ch
Corsier,6619,https://www.corsier.ch
Dardagny,6620,https://dardagny.ch/plan-directeur/
Genève,6621,https://www.geneve.ch
Genthod,6622,https://www.genthod.ch
Le Grand-Saconnex,6623,https://www.grand-saconnex.ch
Gy,6624,https://www.mairie-gy.ch/
Hermance,6625,https://www.hermance.ch
Jussy,6626,https://www.jussy.ch
Laconnex,6627,https://www.laconnex.ch
Lancy,6628,https://www.lancy.ch
Meinier,6629,https://www.meinier.ch
Meyrin,6630,https://www.meyrin.ch
Onex,6631,https://www.onex.ch
Perly-Certoux,6632,https://www.perly-certoux.ch/fr/pages/vivre-a-perly-certoux/territoire/
Plan-les-Ouates,6633,https://www.plan-les-ouates.ch
Pregny-Chambésy,6634,https://www.pregny-chambesy.ch/plandirecteur
Presinge,6635,https://www.presinge.ch
Puplinge,6636,https://www.puplinge.ch/amenagement-environnement/amenagement-du-territoire/
Russin,6637,https://www.russin.ch
Satigny,6638,https://www.satigny.ch
Soral,6639,https://www.soral.ch
Thônex,6640,https://www.thonex.ch
Troinex,6641,https://www.troinex.ch
Vandoeuvres,6642,https://www.vandoeuvres.ch
Vernier,6643,https://www.vernier.ch
Versoix,6644,https://www.versoix.ch
Veyrier,6645,https://www.veyrier.ch
